Column,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,JobTitle,CleanedCity
7079,33800.0,HONOLULU,HI,96817,541219,Corporation,Asian,"Male Owned",Non-Veteran,,2.0,05/01/2020,"Hawaii National Bank",HI-01,"Other Accounting Services",HONOLULU
7080,33790.0,HONOLULU,HI,96821,114111,"Limited  Liability Company(LLC)",Asian,"Female Owned",Non-Veteran,,,04/11/2020,"Bank of Hawaii",HI-01,"Finfish Fishing",HONOLULU
7081,33775.0,HONOLULU,HI,96815,813212,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,10.0,06/12/2020,"Kabbage, Inc.",HI-01,"Voluntary Health Organizations",HONOLULU
7082,33757.5,HONOLULU,HI,96816,112210,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Non-Veteran,,5.0,04/11/2020,"Compeer Financial, ACA",HI-01,"Hog and Pig Farming",HONOLULU
7083,33753.6,LAHAINA,HI,96761,442110,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/01/2020,"Central Pacific Bank",HI-02,"Furniture Stores",LAHAINA
7084,33750.0,KAPOLEI,HI,96707,722513,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Bank of Hawaii",HI-02,"Limited-Service Restaurants",KAPOLEI
7085,33750.0,HONOLULU,HI,96814,611710,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,0.0,05/01/2020,"Central Pacific Bank",HI-01,"Educational Support Services",HONOLULU
7086,33722.5,HONOLULU,HI,96815,541810,Corporation,Unanswered,Unanswered,Unanswered,,3.0,04/28/2020,"First Hawaiian Bank",HI-01,"Advertising Agencies",HONOLULU
7087,33700.0,KANEOHE,HI,96744,621210,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/15/2020,"American Savings Bank, FSB",HI-02,"Offices of Dentists",KANEOHE
7088,33700.0,WAILUKU,HI,96793,238160,Corporation,Unanswered,Unanswered,Unanswered,,3.0,05/04/2020,"First Hawaiian Bank",HI-02,"Roofing Contractors",WAILUKU
7089,33700.0,HONOLULU,HI,96817,811111,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,6.0,04/11/2020,"American Savings Bank, FSB",HI-01,"General Automotive Repair",HONOLULU
7090,33700.0,WAIPAHU,HI,96797,238160,Corporation,Asian,"Male Owned",Unanswered,,16.0,04/13/2020,"American Savings Bank, FSB",HI-01,"Roofing Contractors",WAIPAHU
7091,33700.0,HONOLULU,HI,96814,621610,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,0.0,05/28/2020,"Central Pacific Bank",HI-01,"Home Health Care Services",HONOLULU
7092,33700.0,HONOLULU,HI,96814,621210,Corporation,Asian,"Male Owned",Non-Veteran,,7.0,04/06/2020,"American Savings Bank, FSB",HI-01,"Offices of Dentists",HONOLULU
7093,33700.0,HALEIWA,HI,96712,448120,Corporation,Unanswered,Unanswered,Unanswered,,3.0,04/06/2020,"American Savings Bank, FSB",HI-02,"Women's Clothing Stores",HALEIWA
7094,33700.0,HONOLULU,HI,96813,722511,Corporation,Unanswered,"Male Owned",Non-Veteran,,9.0,04/14/2020,"First Hawaiian Bank",HI-01,"Full-Service Restaurants",HONOLULU
7095,33700.0,HONOLULU,HI,96813,541611,"Self-Employed Individuals",Unanswered,Unanswered,Unanswered,,1.0,04/08/2020,"Central Pacific Bank",HI-01,"Administrative Management and General Management Consulting Services",HONOLULU
7096,33700.0,HONOLULU,HI,96817,336612,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Unanswered,,0.0,05/01/2020,"Central Pacific Bank",HI-01,"Boat Building",HONOLULU
7097,33680.0,HONOLULU,HI,96819,444190,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,3.0,05/16/2020,"First Hawaiian Bank",HI-01,"Other Building Material Dealers",HONOLULU
7098,33660.0,HONOLULU,HI,96813,447110,Corporation,Asian,Unanswered,Unanswered,,,04/12/2020,"Bank of Hawaii",HI-01,"Gasoline Stations with Convenience Stores",HONOLULU
7099,33660.0,HONOLULU,HI,96806,423830,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,4.0,05/03/2020,"Cross River Bank",HI-01,"Industrial Machinery and Equipment Merchant Wholesalers",HONOLULU
7100,33632.5,HAWI,HI,96719,621610,Corporation,Unanswered,Unanswered,Unanswered,,3.0,04/29/2020,"Hawaii Community FCU",HI-02,"Home Health Care Services",HAWI
7101,33610.0,LAHAINA,HI,96761,531210,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,,04/15/2020,"Bank of Hawaii",HI-02,"Offices of Real Estate Agents and Brokers",LAHAINA
7102,33605.0,HONOLULU,HI,96826,812990,Corporation,Unanswered,Unanswered,Unanswered,,2.0,04/27/2020,"First Hawaiian Bank",HI-01,"All Other Personal Services",HONOLULU
7103,33605.0,HILO,HI,96720,238210,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,,04/28/2020,"CU Hawaii FCU",HI-02,"Electrical Contractors and Other Wiring Installation Contractors",HILO
7104,33600.0,KAPAA,HI,96746,722511,Corporation,Unanswered,Unanswered,Unanswered,,10.0,05/03/2020,"American Savings Bank, FSB",HI-02,"Full-Service Restaurants",KAPAA
7105,33600.0,KANEOHE,HI,96744,621210,Corporation,Asian,"Female Owned",Unanswered,,7.0,04/10/2020,"American Savings Bank, FSB",HI-02,"Offices of Dentists",KANEOHE
7106,33600.0,HONOLULU,HI,96815,561110,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,3.0,04/28/2020,"American Savings Bank, FSB",HI-01,"Office Administrative Services",HONOLULU
7107,33600.0,HONOLULU,HI,96814,621210,"Limited  Liability Company(LLC)",Asian,"Male Owned",Unanswered,,4.0,04/15/2020,"Hawaii National Bank",HI-01,"Offices of Dentists",HONOLULU
7108,33600.0,WAIPAHU,HI,96797,531130,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,4.0,04/15/2020,"First Hawaiian Bank",HI-01,"Lessors of Miniwarehouses and Self-Storage Units",WAIPAHU
7109,33600.0,HONOLULU,HI,96825,812113,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,1.0,04/29/2020,"Central Pacific Bank",HI-01,"Nail Salons",HONOLULU
7110,33600.0,HONOLULU,HI,96814,621111,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/28/2020,"Central Pacific Bank",HI-01,"Offices of Physicians (except Mental Health Specialists)",HONOLULU
7111,33600.0,LIHUE,HI,96766,561990,"Professional Association",Unanswered,Unanswered,Unanswered,,9.0,04/05/2020,"Central Pacific Bank",HI-02,"All Other Support Services",LIHUE
7112,33600.0,HONOLULU,HI,96819,541990,Corporation,Unanswered,Unanswered,Unanswered,,6.0,04/27/2020,"First Hawaiian Bank",HI-01,"All Other Professional, Scientific, and Technical Services",HONOLULU
7113,33600.0,HONOLULU,HI,96821,541512,Corporation,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,"Central Pacific Bank",HI-01,"Computer Systems Design Services",HONOLULU
7114,33600.0,WAHIAWA,HI,96786,811111,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/07/2020,"Central Pacific Bank",HI-02,"General Automotive Repair",WAHIAWA
7115,33600.0,HONOLULU,HI,96825,621210,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,1.0,04/07/2020,"Central Pacific Bank",HI-01,"Offices of Dentists",HONOLULU
7116,33600.0,KAILUA,HI,96734,621111,Corporation,Unanswered,Unanswered,Unanswered,,1.0,05/14/2020,"American Savings Bank, FSB",HI-02,"Offices of Physicians (except Mental Health Specialists)",KAILUA
7117,33600.0,KAILUA,HI,96734,445310,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,8.0,04/28/2020,"First Hawaiian Bank",HI-02,"Beer, Wine, and Liquor Stores",KAILUA
7118,33600.0,PAAUILO,HI,96776,112111,Corporation,Unanswered,Unanswered,Unanswered,,3.0,04/28/2020,"First Hawaiian Bank",HI-02,"Beef Cattle Ranching and Farming",PAAUILO
7119,33600.0,HONOLULU,HI,96815,445292,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,3.0,04/08/2020,"Central Pacific Bank",HI-01,"Confectionery and Nut Stores",HONOLULU
7120,33600.0,"PEARL CITY",HI,96782,813110,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,0.0,05/01/2020,"Central Pacific Bank",HI-01,"Religious Organizations","PEARL CITY"
7121,33600.0,"KAILUA KONA",HI,96740,238320,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,3.0,05/19/2020,"Hawaii First FCU",HI-02,"Painting and Wall Covering Contractors","KAILUA KONA"
7122,33597.0,PRINCEVILLE,HI,96722,,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,1.0,05/01/2020,"JPMorgan Chase Bank, National Association",HI-02,,PRINCEVILLE
7123,33595.0,KIHEI,HI,96753,541350,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,3.0,05/07/2020,"First Hawaiian Bank",HI-02,"Building Inspection Services",KIHEI
7124,33590.0,WAIPAHU,HI,96797,811192,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/13/2020,"Bank of Hawaii",HI-01,"Car Washes",WAIPAHU
7125,33585.0,HONOLULU,HI,96814,722511,Corporation,Unanswered,Unanswered,Unanswered,,2.0,04/27/2020,"First Hawaiian Bank",HI-01,"Full-Service Restaurants",HONOLULU
7126,33577.0,HONOLULU,HI,96819,236220,Corporation,Unanswered,"Male Owned",Non-Veteran,,8.0,04/27/2020,"Bank of Hawaii",HI-01,"Commercial and Institutional Building Construction",HONOLULU
7127,33565.0,HONOLULU,HI,96826,722511,Corporation,Unanswered,Unanswered,Unanswered,,11.0,05/04/2020,"Bank of Hawaii",HI-01,"Full-Service Restaurants",HONOLULU
7128,33564.0,"KAILUA KONA",HI,96740,621111,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,3.0,04/15/2020,"First Hawaiian Bank",HI-02,"Offices of Physicians (except Mental Health Specialists)","KAILUA KONA"
7129,33555.0,HONOLULU,HI,96822,621310,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,2.0,04/27/2020,"Bank of Hawaii",HI-01,"Offices of Chiropractors",HONOLULU
7130,33540.0,HONOLULU,HI,96826,621111,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,3.0,05/03/2020,"First Hawaiian Bank",HI-01,"Offices of Physicians (except Mental Health Specialists)",HONOLULU
7131,33540.0,KANEOHE,HI,96744,111339,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/29/2020,"Bank of Hawaii",HI-02,"Other Noncitrus Fruit Farming",KANEOHE
7132,33530.0,HONOLULU,HI,96813,621112,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,1.0,04/28/2020,"First Hawaiian Bank",HI-01,"Offices of Physicians, Mental Health Specialists",HONOLULU
7133,33500.0,HONOLULU,HI,96813,531390,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,0.0,05/21/2020,"Central Pacific Bank",HI-01,"Other Activities Related to Real Estate",HONOLULU
7134,33500.0,PUUNENE,HI,96784,238910,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/21/2020,"Central Pacific Bank",HI-02,"Site Preparation Contractors",PUUNENE
7135,33500.0,KAILUA,HI,96734,236115,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,4.0,04/28/2020,"American Savings Bank, FSB",HI-02,"New Single-Family Housing Construction (except For-Sale Builders)",KAILUA
7136,33500.0,HONOLULU,HI,96817,722515,Corporation,Unanswered,Unanswered,Unanswered,,4.0,04/29/2020,"First Hawaiian Bank",HI-01,"Snack and Nonalcoholic Beverage Bars",HONOLULU
7137,33500.0,HONOLULU,HI,96814,722511,"Subchapter S Corporation",Asian,"Male Owned",Non-Veteran,,8.0,05/22/2020,"Hawaii National Bank",HI-01,"Full-Service Restaurants",HONOLULU
7138,33500.0,LAHAINA,HI,96761,531210,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,1.0,05/25/2020,"American Savings Bank, FSB",HI-02,"Offices of Real Estate Agents and Brokers",LAHAINA
7139,33500.0,HILO,HI,96720,451140,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,3.0,04/13/2020,"First Hawaiian Bank",HI-02,"Musical Instrument and Supplies Stores",HILO
7140,33500.0,HONOLULU,HI,96816,722511,"Limited  Liability Company(LLC)",Asian,"Male Owned",Non-Veteran,,28.0,04/13/2020,"Hawaii National Bank",HI-01,"Full-Service Restaurants",HONOLULU
7141,33500.0,KIHEI,HI,96753,337121,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,3.0,04/05/2020,"American Savings Bank, FSB",HI-02,"Upholstered Household Furniture Manufacturing",KIHEI
7142,33500.0,HONOLULU,HI,96818,722513,Corporation,Asian,"Male Owned",Non-Veteran,,6.0,05/11/2020,"Hawaii National Bank",HI-01,"Limited-Service Restaurants",HONOLULU
7143,33500.0,HONOLULU,HI,96814,722310,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,16.0,04/05/2020,"American Savings Bank, FSB",HI-01,"Food Service Contractors",HONOLULU
7144,33500.0,HONOLULU,HI,96817,621111,Corporation,Asian,"Male Owned",Non-Veteran,,3.0,04/30/2020,"First Hawaiian Bank",HI-01,"Offices of Physicians (except Mental Health Specialists)",HONOLULU
7145,33500.0,HONOLULU,HI,96815,531390,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/28/2020,"Central Pacific Bank",HI-01,"Other Activities Related to Real Estate",HONOLULU
7146,33500.0,KANEOHE,HI,96744,722511,Corporation,Unanswered,"Male Owned",Non-Veteran,,6.0,04/07/2020,"Central Pacific Bank",HI-02,"Full-Service Restaurants",KANEOHE
7147,33500.0,HONOLULU,HI,96817,236118,"Limited  Liability Company(LLC)",Asian,"Male Owned",Unanswered,,3.0,05/02/2020,"American Savings Bank, FSB",HI-01,"Residential Remodelers",HONOLULU
7148,33480.0,HONOLULU,HI,96815,444190,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,3.0,04/30/2020,"First Hawaiian Bank",HI-01,"Other Building Material Dealers",HONOLULU
7149,33470.0,HONOLULU,HI,96815,531311,Corporation,Unanswered,"Male Owned",Non-Veteran,,3.0,04/27/2020,"First Hawaiian Bank",HI-01,"Residential Property Managers",HONOLULU
7150,33450.0,KAHULUI,HI,96733,445299,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,4.0,04/28/2020,"First Hawaiian Bank",HI-02,"All Other Specialty Food Stores",KAHULUI
7151,33450.0,WAIPAHU,HI,96797,423840,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,,04/09/2020,"Bank of Hawaii",HI-01,"Industrial Supplies Merchant Wholesalers",WAIPAHU
7152,33445.0,AIEA,HI,96701,621111,Corporation,Unanswered,Unanswered,Unanswered,,15.0,04/27/2020,"First Hawaiian Bank",HI-01,"Offices of Physicians (except Mental Health Specialists)",AIEA
7153,33435.0,KANEOHE,HI,96744,238210,Corporation,Unanswered,Unanswered,Unanswered,,,05/08/2020,"Bank of Hawaii",HI-02,"Electrical Contractors and Other Wiring Installation Contractors",KANEOHE
7154,33400.0,HONOLULU,HI,96826,541310,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,2.0,04/09/2020,"Central Pacific Bank",HI-01,"Architectural Services",HONOLULU
7155,33400.0,HONOLULU,HI,96818,541370,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,6.0,04/28/2020,"American Savings Bank, FSB",HI-01,"Surveying and Mapping (except Geophysical) Services",HONOLULU
7156,33400.0,WAILUKU,HI,96793,722511,Corporation,Unanswered,Unanswered,Unanswered,,2.0,04/15/2020,"Central Pacific Bank",HI-02,"Full-Service Restaurants",WAILUKU
7157,33400.0,KAMUELA,HI,96743,512131,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,4.0,04/29/2020,"First Hawaiian Bank",HI-02,"Motion Picture Theaters (except Drive-Ins)",KAMUELA
7158,33400.0,HONOLULU,HI,96813,541512,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,4.0,04/06/2020,"American Savings Bank, FSB",HI-01,"Computer Systems Design Services",HONOLULU
7159,33400.0,KAPOLEI,HI,96707,236115,"Sole Proprietorship",Unanswered,Unanswered,Veteran,,10.0,04/06/2020,"American Savings Bank, FSB",HI-02,"New Single-Family Housing Construction (except For-Sale Builders)",KAPOLEI
7160,33400.0,HONOLULU,HI,96813,451211,Corporation,Unanswered,Unanswered,Unanswered,,18.0,04/28/2020,"First Hawaiian Bank",HI-01,"Book Stores",HONOLULU
7161,33400.0,HONOLULU,HI,96819,541219,"Limited  Liability Company(LLC)",Asian,"Male Owned",Unanswered,,2.0,04/07/2020,"Hawaii National Bank",HI-01,"Other Accounting Services",HONOLULU
7162,33390.0,WAIPAHU,HI,96797,621330,"Limited Liability Partnership",Unanswered,Unanswered,Unanswered,,7.0,04/27/2020,"First Hawaiian Bank",HI-01,"Offices of Mental Health Practitioners (except Physicians)",WAIPAHU
7163,33362.0,KEAAU,HI,96749,722410,Corporation,Unanswered,Unanswered,Unanswered,,,04/28/2020,"Bank of Hawaii",HI-02,"Drinking Places (Alcoholic Beverages)",KEAAU
7164,33357.5,HONOLULU,HI,96817,522310,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,4.0,04/28/2020,"First Hawaiian Bank",HI-01,"Mortgage and Nonmortgage Loan Brokers",HONOLULU
7165,33330.0,HONOKAA,HI,96727,561730,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,4.0,05/04/2020,"Hawaii First FCU",HI-02,"Landscaping Services",HONOKAA
7166,33327.5,HONOLULU,HI,96815,531210,Corporation,Unanswered,Unanswered,Unanswered,,2.0,04/27/2020,"First Hawaiian Bank",HI-01,"Offices of Real Estate Agents and Brokers",HONOLULU
7167,33300.0,AIEA,HI,96701,813110,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,5.0,04/10/2020,"Ohana Pacific Bank",HI-01,"Religious Organizations",AIEA
7168,33300.0,HONOLULU,HI,96815,561720,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/29/2020,"American Savings Bank, FSB",HI-01,"Janitorial Services",HONOLULU
7169,33300.0,HONOLULU,HI,96814,811310,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,1.0,04/10/2020,"American Savings Bank, FSB",HI-01,"Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance",HONOLULU
7170,33300.0,MAKAWAO,HI,96768,713930,Corporation,Unanswered,Unanswered,Unanswered,,11.0,05/06/2020,"American Savings Bank, FSB",HI-02,Marinas,MAKAWAO
7171,33300.0,"EWA BEACH",HI,96706,445310,Corporation,Asian,"Male Owned",Non-Veteran,,7.0,04/11/2020,"First Hawaiian Bank",HI-01,"Beer, Wine, and Liquor Stores","EWA BEACH"
7172,33300.0,HONOLULU,HI,96819,424490,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,11.0,04/13/2020,"American Savings Bank, FSB",HI-01,"Other Grocery and Related Products Merchant Wholesalers",HONOLULU
7173,33300.0,HONOLULU,HI,96813,722410,"Limited  Liability Company(LLC)",Asian,"Male Owned",Unanswered,,4.0,04/05/2020,"American Savings Bank, FSB",HI-01,"Drinking Places (Alcoholic Beverages)",HONOLULU
7174,33300.0,KAMUELA,HI,96743,813312,Corporation,Unanswered,Unanswered,Unanswered,,4.0,04/07/2020,"American Savings Bank, FSB",HI-02,"Environment, Conservation and Wildlife Organizations",KAMUELA
7175,33300.0,HONOLULU,HI,96813,541110,Corporation,Unanswered,Unanswered,Unanswered,,2.0,04/08/2020,"First Hawaiian Bank",HI-01,"Offices of Lawyers",HONOLULU
7176,33300.0,HONOLULU,HI,96814,922130,Corporation,Unanswered,Unanswered,Unanswered,,3.0,04/08/2020,"First Hawaiian Bank",HI-01,"Legal Counsel and Prosecution",HONOLULU
7177,33300.0,HONOLULU,HI,96822,722513,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/08/2020,"Central Pacific Bank",HI-01,"Limited-Service Restaurants",HONOLULU
7178,33300.0,MILILANI,HI,96789,562910,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,2.0,05/02/2020,"First Hawaiian Bank",HI-01,"Remediation Services",MILILANI
7179,33297.6,HONOLULU,HI,96815,445120,Corporation,Unanswered,Unanswered,Unanswered,,7.0,05/16/2020,"First Hawaiian Bank",HI-01,"Convenience Stores",HONOLULU
7180,33297.0,HONOLULU,HI,96813,621111,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,,06/26/2020,"Bank of Hawaii",HI-01,"Offices of Physicians (except Mental Health Specialists)",HONOLULU
7181,33272.57,KILAUEA,HI,96754,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/07/2020,"Kaua'i Government Employees' FCU",HI-02,"Full-Service Restaurants",KILAUEA
7182,33265.0,WAILUKU,HI,96793,621340,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/13/2020,"Bank of Hawaii",HI-02,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",WAILUKU
7183,33255.0,HONOLULU,HI,96814,621310,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,2.0,04/16/2020,"Bank of Hawaii",HI-01,"Offices of Chiropractors",HONOLULU
7184,33250.0,KIHEI,HI,96753,621399,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Non-Veteran,,2.0,05/09/2020,"Bank of America, National Association",HI-02,"Offices of All Other Miscellaneous Health Practitioners",KIHEI
7185,33250.0,HONOLULU,HI,96815,423940,Corporation,Unanswered,Unanswered,Unanswered,,4.0,04/06/2020,"American Savings Bank, FSB",HI-01,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",HONOLULU
7186,33250.0,"KAILUA KONA",HI,96740,541211,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,4.0,04/09/2020,"Bank of Hawaii",HI-02,"Offices of Certified Public Accountants","KAILUA KONA"
7187,33227.0,LAHAINA,HI,96761,236118,Corporation,Unanswered,Unanswered,Unanswered,,2.0,05/06/2020,"Kabbage, Inc.",HI-02,"Residential Remodelers",LAHAINA
7188,33225.0,"KAILUA KONA",HI,96745,812990,Corporation,Unanswered,Unanswered,Unanswered,,5.0,08/04/2020,"Hawaii Community FCU",HI-02,"All Other Personal Services","KAILUA KONA"
7189,33200.0,WAILUKU,HI,96793,531320,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,2.0,04/10/2020,"American Savings Bank, FSB",HI-02,"Offices of Real Estate Appraisers",WAILUKU
7190,33200.0,HAIKU,HI,96708,236220,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,2.0,04/15/2020,"First Hawaiian Bank",HI-02,"Commercial and Institutional Building Construction",HAIKU
7191,33200.0,HILO,HI,96720,722511,"Self-Employed Individuals",Unanswered,Unanswered,Unanswered,,8.0,04/29/2020,"American Savings Bank, FSB",HI-02,"Full-Service Restaurants",HILO
7192,33200.0,WAIPAHU,HI,96797,238320,Corporation,Unanswered,Unanswered,Unanswered,,6.0,04/11/2020,"American Savings Bank, FSB",HI-01,"Painting and Wall Covering Contractors",WAIPAHU
7193,33200.0,"EWA BEACH",HI,96706,114119,Corporation,Asian,"Male Owned",Non-Veteran,,5.0,04/12/2020,"Central Pacific Bank",HI-01,"Other Marine Fishing","EWA BEACH"
7194,33200.0,HALEIWA,HI,96712,522310,Corporation,White,"Male Owned",Unanswered,,2.0,04/05/2020,"American Savings Bank, FSB",HI-02,"Mortgage and Nonmortgage Loan Brokers",HALEIWA
7195,33200.0,WAIANAE,HI,96792,722511,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/13/2020,"Central Pacific Bank",HI-02,"Full-Service Restaurants",WAIANAE
7196,33200.0,HONOLULU,HI,96821,623110,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,6.0,05/14/2020,"American Savings Bank, FSB",HI-01,"Nursing Care Facilities (Skilled Nursing Facilities)",HONOLULU
7197,33200.0,HONOLULUULU,HI,96817,722511,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,5.0,04/28/2020,"Central Pacific Bank",HI-01,"Full-Service Restaurants",HONOLULU
7198,33200.0,"KAILUA KONA",HI,96740,236115,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Unanswered,,6.0,04/07/2020,"American Savings Bank, FSB",HI-02,"New Single-Family Housing Construction (except For-Sale Builders)","KAILUA KONA"
7199,33200.0,KIHEI,HI,96753,453998,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,0.0,05/02/2020,"Central Pacific Bank",HI-02,"All Other Miscellaneous Store Retailers (except Tobacco Stores)",KIHEI
7200,33169.0,HONOLULU,HI,96837,236115,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/06/2020,"Central Pacific Bank",HI-01,"New Single-Family Housing Construction (except For-Sale Builders)",HONOLULU
7201,33167.0,"EWA BEACH",HI,96706,423110,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,2.0,04/15/2020,"Central Pacific Bank",HI-01,"Automobile and Other Motor Vehicle Merchant Wholesalers","EWA BEACH"
7202,33160.0,"KAILUA KONA",HI,96740,423320,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Non-Veteran,,,04/15/2020,"Bank of Hawaii",HI-02,"Brick, Stone, and Related Construction Material Merchant Wholesalers","KAILUA KONA"
7203,33157.0,HANAPEPE,HI,96716,453220,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/29/2020,WebBank,HI-02,"Gift, Novelty, and Souvenir Stores",HANAPEPE
7204,33142.5,KIHEI,HI,96753,448190,Corporation,Unanswered,Unanswered,Unanswered,,4.0,04/28/2020,"First Hawaiian Bank",HI-02,"Other Clothing Stores",KIHEI
7205,33135.2,KANEOHE,HI,96744,812111,Corporation,Unanswered,Unanswered,Unanswered,,6.0,07/29/2020,"HawaiiUSA FCU",HI-02,"Barber Shops",KANEOHE
7206,33135.0,HONOLULU,HI,96826,811111,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Non-Veteran,,,04/13/2020,"Bank of Hawaii",HI-01,"General Automotive Repair",HONOLULU
7207,33132.0,KAILUA,HI,96734,531190,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,3.0,04/27/2020,"Bank of Hawaii",HI-02,"Lessors of Other Real Estate Property",KAILUA
7208,33100.0,ELEELE,HI,96705,561720,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,8.0,05/08/2020,"American Savings Bank, FSB",HI-02,"Janitorial Services",ELEELE
7209,33100.0,HONOLULU,HI,96826,311812,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Non-Veteran,,8.0,04/06/2020,"Central Pacific Bank",HI-01,"Commercial Bakeries",HONOLULU
7210,33100.0,HONOLULU,HI,96815,451110,Corporation,Unanswered,Unanswered,Unanswered,,4.0,04/08/2020,"Central Pacific Bank",HI-01,"Sporting Goods Stores",HONOLULU
7211,33045.0,HONOLULU,HI,96815,448310,Corporation,Unanswered,Unanswered,Unanswered,,3.0,05/03/2020,WebBank,HI-01,"Jewelry Stores",HONOLULU
7212,33030.0,KEAAU,HI,96749,722513,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/27/2020,"Bank of Hawaii",HI-02,"Limited-Service Restaurants",KEAAU
7213,33005.95,HONOLULU,HI,96817,541410,Corporation,Unanswered,Unanswered,Unanswered,,3.0,05/08/2020,"HawaiiUSA FCU",HI-01,"Interior Design Services",HONOLULU
