LoanAmount,City,Zip,JobsReported,DateApproved,MonthApproved,Lender,JobTitle,CleanedCity
73500,HONOLULU,96814,12,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,CAR WASHES,HONOLULU
73500,HONOLULU,96815,10,2020-04-05T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,DRINKING PLACES (ALCOHOLIC BEVERAGES),HONOLULU
73500,MAKAWAO,96768,6,2020-04-13T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,MAKAWAO
73500,HONOLULU,96822,8,2020-04-27T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,THEATER COMPANIES AND DINNER THEATERS,HONOLULU
73500,HONOLULU,96818,9,2020-04-06T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,HONOLULU
73500,HONOLULU,96819,12,2020-04-07T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LIMITED-SERVICE RESTAURANTS,HONOLULU
73497,HONOLULU,96815,5,2020-04-27T00:00:00Z,APRIL,BANK OF HAWAII,PASSENGER CAR RENTAL,HONOLULU
73446,WAHIAWA,96786,6,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",WAHIAWA
73402.5,HONOLULU,96817,6,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF DENTISTS,HONOLULU
73400,WAHIAWA,96786,7,2020-04-06T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,WAHIAWA
73400,HONOLULU,96813,9,2020-04-07T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",CHILD AND YOUTH SERVICES,HONOLULU
73392.5,HONOLULU,96818,6,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF OPTOMETRISTS,HONOLULU
73300,AIEA,96701,8,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,CHILD DAY CARE SERVICES,AIEA
73300,KALAHEO,96741,6,2020-04-16T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ADVERTISING AGENCIES,KALAHEO
73300,PEARL CITY,96782,20,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,PEARL CITY
73300,HONOLULU,96815,10,2020-04-14T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ALL OTHER PERSONAL SERVICES,HONOLULU
73300,KAILUA KONA,96745,4,2020-04-08T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ARCHITECTURAL SERVICES,KAILUA KONA
73270,HONOLULUULU,96814,1,2020-04-16T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,INVESTMENT ADVICE,HONOLULU
73255,HONOLULU,96816,7,2020-05-01T00:00:00Z,MAY,FIRST HAWAIIAN BANK,OFFICES OF OPTOMETRISTS,HONOLULU
73205,OCEAN VIEW,96737,1,2020-04-10T00:00:00Z,APRIL,BANK OF HAWAII,,OCEAN VIEW
73202,WAIPAHU,96797,12,2020-04-28T00:00:00Z,APRIL,BANK OF HAWAII,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,WAIPAHU
73200,HALEIWA,96712,14,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OTHER CLOTHING STORES,HALEIWA
73200,KAMUELA,96743,14,2020-04-29T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,LIMITED-SERVICE RESTAURANTS,KAMUELA
73200,HONOLULU,96815,20,2020-04-30T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OTHER NONCITRUS FRUIT FARMING,HONOLULU
73200,HONOLULU,96816,137,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",TRANSLATION AND INTERPRETATION SERVICES,HONOLULU
73200,WAILUKU,96793,5,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,WAILUKU
73200,HONOLULU,96819,8,2020-04-14T00:00:00Z,APRIL,HAWAII NATIONAL BANK,SPORTING GOODS STORES,HONOLULU
73100,HONOLULU,96813,9,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",GENERAL AUTOMOTIVE REPAIR,HONOLULU
73100,HONOLULU,96817,3,2020-04-09T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,MARKETING CONSULTING SERVICES,HONOLULU
73053,HONOLULU,96826,1,2020-05-02T00:00:00Z,MAY,CENTRAL PACIFIC BANK,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,HONOLULU
73000,AIEA,96701,7,2020-05-25T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",NAIL SALONS,AIEA
73000,HONOLULU,96819,10,2020-04-04T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,BROADWOVEN FABRIC MILLS,HONOLULU
73000,WAHIAWA,96786,9,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,METAL SERVICE CENTERS AND OTHER METAL MERCHANT WHOLESALERS,WAHIAWA
73000,HONOLULU,96813,4,2020-04-07T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OTHER ACCOUNTING SERVICES,HONOLULU
73000,LIHUE,96766,6,2020-04-28T00:00:00Z,APRIL,GREATER NEVADA CU,LESSORS OF OTHER REAL ESTATE PROPERTY,LIHUE
73000,WAIPAHU,96797,6,2020-05-01T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,WAIPAHU
72975,WAIALUA,96791,13,2020-04-27T00:00:00Z,APRIL,BANK OF HAWAII,CONVENIENCE STORES,WAIALUA
72940,LAHAINA,96761,22,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,LAHAINA
72917,HONOLULU,96826,17,2020-04-10T00:00:00Z,APRIL,HAWAIIUSA FCU,LIMITED-SERVICE RESTAURANTS,HONOLULU
72900,KAPOLEI,96707,6,2020-04-10T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF OPTOMETRISTS,KAPOLEI
72900,AIEA,96701,4,2020-04-11T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,AUDIO AND VIDEO EQUIPMENT MANUFACTURING,AIEA
72900,KAILUA,96734,7,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",FRAMING CONTRACTORS,KAILUA
72900,WAHIAWA,96786,7,2020-04-05T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),WAHIAWA
72900,HONOLULU,96826,5,2020-04-14T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,HONOLULU
72900,KIHEI,96753,3,2020-04-07T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,TOUR OPERATORS,KIHEI
72900,AIEA,96701,1,2020-04-30T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,PLASTICS MATERIAL AND RESIN MANUFACTURING,AIEA
72900,HONOLULU,96816,4,2020-04-08T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ALL OTHER TELECOMMUNICATIONS,HONOLULU
72872.4,HILO,96720,11,2020-04-29T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,HILO
72850,AIEA,96701,11,2020-04-13T00:00:00Z,APRIL,BANK OF HAWAII,SHOE STORES,AIEA
72805,LIHUE,96766,5,2020-04-16T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),LIHUE
72805,KAILUA,96734,6,2020-05-01T00:00:00Z,MAY,FIRST HAWAIIAN BANK,ENGINEERING SERVICES,KAILUA
72800,HONOLULU,96826,5,2020-05-06T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",PROFESSIONAL ORGANIZATIONS,HONOLULU
72800,KEALAKEKUA,96750,6,2020-04-27T00:00:00Z,APRIL,BANK OF HAWAII,OFFICES OF OPTOMETRISTS,KEALAKEKUA
72800,HONOLULU,96813,5,2020-04-06T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OTHER ACCOUNTING SERVICES,HONOLULU
72800,HILO,96720,7,2020-04-28T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",HILO
72700,HONOLULU,96816,12,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",ALL OTHER HEALTH AND PERSONAL CARE STORES,HONOLULU
72700,HONOLULU,96816,1,2020-04-30T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LESSORS OF OTHER REAL ESTATE PROPERTY,HONOLULU
72697,HILO,96720,1,2020-05-01T00:00:00Z,MAY,CU HAWAII FCU,SOLID WASTE COLLECTION,HILO
72690,HONOLULU,96814,11,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF DENTISTS,HONOLULU
72677.5,LANAI CITY,96763,11,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,PET CARE (EXCEPT VETERINARY) SERVICES,LANAI CITY
72650,PAIA,96779,1,2020-04-13T00:00:00Z,APRIL,BANK OF HAWAII,"GIFT, NOVELTY, AND SOUVENIR STORES",PAIA
72607.5,HONOLULU,96814,9,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,MARKETING CONSULTING SERVICES,HONOLULU
72600,HONOLULU,96814,13,2020-04-28T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,FULL-SERVICE RESTAURANTS,HONOLULU
72600,KOLOA,96756,1,2020-04-14T00:00:00Z,APRIL,BANK OF HAWAII,FULL-SERVICE RESTAURANTS,KOLOA
72600,HILO,96720,28,2020-05-01T00:00:00Z,MAY,CENTRAL PACIFIC BANK,LIMITED-SERVICE RESTAURANTS,HILO
72600,KAHULUI,96732,21,2020-05-02T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",LIMITED-SERVICE RESTAURANTS,KAHULUI
72600,KAILUA,96734,6,2020-04-09T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,MASONRY CONTRACTORS,KAILUA
72584,KAILUA KONA,96740,9,2020-04-15T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LANDSCAPING SERVICES,KAILUA KONA
72580,HONOLULU,96815,10,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,RELIGIOUS ORGANIZATIONS,HONOLULU
72500,HONOLULU,96814,5,2020-04-10T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,HONOLULU
72500,HONOLULU,96813,1,2020-04-12T00:00:00Z,APRIL,BANK OF HAWAII,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),HONOLULU
72500,PAIA,96779,1,2020-04-13T00:00:00Z,APRIL,BANK OF HAWAII,"GIFT, NOVELTY, AND SOUVENIR STORES",PAIA
72500,HONOLULU,96813,7,2020-04-04T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",HONOLULU
72500,HONOLULU,96813,7,2020-04-05T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,PROFESSIONAL EMPLOYER ORGANIZATIONS,HONOLULU
72500,HONOLULU,96817,14,2020-04-06T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",WHOLESALE TRADE AGENTS AND BROKERS,HONOLULU
72500,LAHAINA,96761,6,2020-04-14T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,LAHAINA
72500,AIEA,96701,13,2020-04-28T00:00:00Z,APRIL,HAWAIIUSA FCU,TELEPHONE ANSWERING SERVICES,AIEA
72467.5,HONOLULU,96819,6,2020-05-01T00:00:00Z,MAY,FIRST HAWAIIAN BANK,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),HONOLULU
72400,HONOLULU,96813,7,2020-04-06T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF LAWYERS,HONOLULU
72400,PEARL CITY,96782,7,2020-04-09T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OTHER INDIVIDUAL AND FAMILY SERVICES,PEARL CITY
72385,HONOLULU (MCCULLY - MOILIILI),96826,18,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,HONOLULU
72365,KIHEI,96753,4,2020-04-28T00:00:00Z,APRIL,BANK OF HAWAII,MARKETING CONSULTING SERVICES,KIHEI
72360,LAHAINA,96761,10,2020-04-07T00:00:00Z,APRIL,BANK OF HAWAII,FOOD SERVICE CONTRACTORS,LAHAINA
72332,KAILUA,96734,5,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,RESIDENTIAL REMODELERS,KAILUA
72300,HONOLULU,96818,2,2020-04-09T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OTHER ACCOUNTING SERVICES,HONOLULU
72200,HONOLULU,96817,12,2020-04-11T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF DENTISTS,HONOLULU
72130,KAMUELA,96743,1,2020-04-16T00:00:00Z,APRIL,BANK OF HAWAII,OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING,KAMUELA
72130,KIHEI,96753,1,2020-04-11T00:00:00Z,APRIL,BANK OF HAWAII,SPORTS AND RECREATION INSTRUCTION,KIHEI
72112.5,HONOLULU,96818,14,2020-04-06T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LIMITED-SERVICE RESTAURANTS,HONOLULU
72100,HONOLULU,96826,10,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,PASSENGER CAR LEASING,HONOLULU
72100,HONOLULU,96817,12,2020-04-29T00:00:00Z,APRIL,HAWAII NATIONAL BANK,FULL-SERVICE RESTAURANTS,HONOLULU
72100,HILO,96720,4,2020-06-25T00:00:00Z,JUNE,HAWAII NATIONAL BANK,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,HILO
72100,LIHUE,96766,1,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",ALL OTHER BUSINESS SUPPORT SERVICES,LIHUE
72100,WAHIAWA,96786,4,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,INSURANCE AGENCIES AND BROKERAGES,WAHIAWA
72100,HONOLULU,96813,8,2020-04-14T00:00:00Z,APRIL,FIRST FOUNDATION BANK,INSURANCE AGENCIES AND BROKERAGES,HONOLULU
72100,EWA BEACH,96706,5,2020-05-01T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",SITE PREPARATION CONTRACTORS,EWA BEACH
72092,KAMUELA,96743,11,2020-04-27T00:00:00Z,APRIL,BANK OF HAWAII,GASOLINE STATIONS WITH CONVENIENCE STORES,KAMUELA
72070,HONOLULU,96816,1,2020-04-10T00:00:00Z,APRIL,BANK OF HAWAII,CONVENIENCE STORES,HONOLULU
72070,LIHUE,96766,7,2020-04-07T00:00:00Z,APRIL,BANK OF HAWAII,OFFICES OF DENTISTS,LIHUE
72066,HONOLULU,96819,1,2020-04-30T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",HONOLULU
72000,WAHIAWA,96786,10,2020-04-27T00:00:00Z,APRIL,BANK OF HAWAII,CHICKEN EGG PRODUCTION,WAHIAWA
72000,HONOLULU,96814,5,2020-04-13T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",LOCKSMITHS,HONOLULU
72000,KAPOLEI,96707,3,2020-06-29T00:00:00Z,JUNE,CROSS RIVER BANK,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,KAPOLEI
72000,HONOLULU,96815,1,2020-05-13T00:00:00Z,MAY,CENTRAL PACIFIC BANK,OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS,HONOLULU
72000,HONOLULU,96813,3,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),HONOLULU
72000,KAMUELA,96743,10,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OTHER ACTIVITIES RELATED TO REAL ESTATE,KAMUELA
71985,KILAUEA,96754,9,2020-05-01T00:00:00Z,MAY,FIRST HAWAIIAN BANK,ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),KILAUEA
71967.5,HONOLULU,96819,11,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",HONOLULU
71961,HONOLULU,96817,6,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",HONOLULU
71961,KANEOHE,96744,5,2020-06-17T00:00:00Z,JUNE,FIRST HAWAIIAN BANK,ALL OTHER SPECIALTY TRADE CONTRACTORS,KANEOHE
71942.5,PEARL CITY,96782,11,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,RESIDENTIAL REMODELERS,PEARL CITY
71900,HILO,96720,1,2020-04-29T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,FULL-SERVICE RESTAURANTS,HILO
71900,HONOLULU,96815,6,2020-04-03T00:00:00Z,APRIL,OHANA PACIFIC BANK,ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,HONOLULU
71900,HILO,96720,8,2020-04-06T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),HILO
71854,KEALAKEKUA,96750,10,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,SITE PREPARATION CONTRACTORS,KEALAKEKUA
71800,HONOLULU,96826,4,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",HONOLULU
71770,HONOLULU,96826,31,2020-04-07T00:00:00Z,APRIL,BANK OF HAWAII,FULL-SERVICE RESTAURANTS,HONOLULU
71754,KANEOHE,96744,8,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,,KANEOHE
71750,KAILUA KONA,96740,19,2020-04-06T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",FULL-SERVICE RESTAURANTS,KAILUA KONA
71700,PEARL CITY,96782,7,2020-04-09T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF OPTOMETRISTS,PEARL CITY
71700,WAILUKU,96793,5,2020-04-04T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,WAILUKU
71700,KAPOLEI,96707,5,2020-04-30T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF OPTOMETRISTS,KAPOLEI
71700,HONOLULU,96815,9,2020-04-05T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,WOMEN'S CLOTHING STORES,HONOLULU
71700,WAIPAHU,96797,12,2020-04-05T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,WAIPAHU
71700,PEARL CITY,96782,8,2020-04-08T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",LIMITED-SERVICE RESTAURANTS,PEARL CITY
71600,HILO,96720,8,2020-05-05T00:00:00Z,MAY,HAWAII NATIONAL BANK,GENERAL AUTOMOTIVE REPAIR,HILO
71600,MILILANI,96789,15,2020-04-04T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",FULL-SERVICE RESTAURANTS,MILILANI
71600,HONOLULU,96817,8,2020-04-06T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",DRINKING PLACES (ALCOHOLIC BEVERAGES),HONOLULU
71590,KAPOLEI,96709,6,2020-04-27T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",KAPOLEI
71512,NAALEHU,96772,1,2020-05-06T00:00:00Z,MAY,CU HAWAII FCU,SITE PREPARATION CONTRACTORS,NAALEHU
71500,PUUNENE,96784,7,2020-04-10T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LANDSCAPING SERVICES,PUUNENE
71500,HONOLULU,96813,4,2020-04-05T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LAND SUBDIVISION,HONOLULU
71500,HONOLULU,96813,5,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF LAWYERS,HONOLULU
71500,WAILUKU,96793,3,2020-05-13T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,WAILUKU
71500,VOLCANO,96785,10,2020-04-08T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,VOLCANO
71500,HONOLULU,96819,5,2020-04-08T00:00:00Z,APRIL,INCREDIBLEBANK,OTHER MILLWORK (INCLUDING FLOORING),HONOLULU
71480,KALAHEO,96741,15,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),KALAHEO
71464,HONOLULU,96814,9,2020-04-28T00:00:00Z,APRIL,BANK OF HAWAII,DENTAL LABORATORIES,HONOLULU
71460,HONOLULU,96813,1,2020-04-13T00:00:00Z,APRIL,BANK OF HAWAII,FULL-SERVICE RESTAURANTS,HONOLULU
71425,KAHULUI,96732,6,2020-06-08T00:00:00Z,JUNE,BANK OF HAWAII,ROOFING CONTRACTORS,KAHULUI
71400,HONOLULU,96813,5,2020-04-09T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,PUBLIC RELATIONS AGENCIES,HONOLULU
71400,HONOLULU,96815,15,2020-04-28T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,FULL-SERVICE RESTAURANTS,HONOLULU
71400,HONOLULU,96814,8,2020-04-04T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF DENTISTS,HONOLULU
71400,HONOLULU,96818,8,2020-05-11T00:00:00Z,MAY,BANK OF HAWAII,HOME HEALTH CARE SERVICES,HONOLULU
71400,AIEA,96701,5,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),AIEA
71400,WAILUKU,96793,1,2020-04-13T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,WAILUKU
71400,HONOLULU,96813,4,2020-04-06T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF LAWYERS,HONOLULU
71400,LIHUE,96766,9,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES,LIHUE
71400,AIEA,96701,4,2020-04-08T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",AIEA
71400,WAIPAHU,96797,17,2020-04-09T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB","MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",WAIPAHU
71365,HONOLULU,96815,4,2020-04-27T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,HONOLULU
71360,KULA,96790,14,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,KULA
71300,HONOLULU,96814,15,2020-04-15T00:00:00Z,APRIL,HAWAII NATIONAL BANK,BEER AND ALE MERCHANT WHOLESALERS,HONOLULU
71300,HONOLULU,96817,11,2020-04-07T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",HONOLULU
71300,HONOLULU,96814,18,2020-04-08T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,HONOLULU
71300,KOLOA,96756,14,2020-04-09T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,KOLOA
71262.5,WAILEA,96753,8,2020-04-27T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),KIHEI
71250,HONOLULU,96815,5,2020-05-05T00:00:00Z,MAY,FIRST HAWAIIAN BANK,RESIDENTIAL PROPERTY MANAGERS,HONOLULU
71247,LIHUE,96766,7,2020-04-28T00:00:00Z,APRIL,CROSS RIVER BANK,OFFICES OF DENTISTS,LIHUE
71209,HONOLULU,96830,22,2020-04-29T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,SNACK AND NONALCOHOLIC BEVERAGE BARS,HONOLULU
71200,HONOLULU,96816,16,2020-04-28T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",DRINKING PLACES (ALCOHOLIC BEVERAGES),HONOLULU
71200,HILO,96720,11,2020-04-12T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,INSURANCE AGENCIES AND BROKERAGES,HILO
71200,LAHAINA,96761,11,2020-04-08T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),LAHAINA
71200,HONOLULU,96814,11,2020-04-28T00:00:00Z,APRIL,OHANA PACIFIC BANK,SNACK AND NONALCOHOLIC BEVERAGE BARS,HONOLULU
71100,WAIPAHU,96797,6,2020-04-29T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",ALL OTHER SPECIALTY TRADE CONTRACTORS,WAIPAHU
71100,HONOLULU,96819,9,2020-04-28T00:00:00Z,APRIL,HAWAII NATIONAL BANK,MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,HONOLULU
71100,HONOLULU,96813,8,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF LAWYERS,HONOLULU
71075,KIHEI,96753,5,2020-04-07T00:00:00Z,APRIL,BANK OF HAWAII,SECONDARY MARKET FINANCING,KIHEI
71040,KAPAA,96746,3,2020-05-05T00:00:00Z,MAY,GATHER FCU,BEAUTY SALONS,KAPAA
71027,LIHUE,96766,6,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ALL OTHER INSURANCE RELATED ACTIVITIES,LIHUE
71020,HONOLULU,96814,1,2020-04-11T00:00:00Z,APRIL,BANK OF HAWAII,FULL-SERVICE RESTAURANTS,HONOLULU
71017.5,HONOLULU,96813,5,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,INSURANCE AGENCIES AND BROKERAGES,HONOLULU
