,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,2017 NAICS Code,2017 NAICS Title
1303,102789.25,MILILANI,HI,96789,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13.0,04/14/2020,HawaiiUSA FCU,HI-01,621210,Offices of Dentists 
1304,102700.0,Lihue,HI,96766,811310,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/30/2020,First Hawaiian Bank,HI-02,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance 
1305,102700.0,HONOLULU,HI,96813,531120,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/04/2020,First Hawaiian Bank,HI-01,531120,Lessors of Nonresidential Buildings (except Miniwarehouses) 
1306,102700.0,KILAUEA,HI,96754,621399,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17.0,04/14/2020,First Hawaiian Bank,HI-02,621399,Offices of All Other Miscellaneous Health Practitioners 
1307,102600.0,KAHULUI,HI,96732,541810,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9.0,04/11/2020,Central Pacific Bank,HI-02,541810,Advertising Agencies
1308,102500.0,KAILUA KONA,HI,96740,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI-02,722511,Full-Service Restaurants 
1309,102500.0,HONOLULU,HI,96813,447110,Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI-01,447110,Gasoline Stations with Convenience Stores 
1310,102500.0,Honolulu,HI,96819,238340,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/30/2020,First Hawaiian Bank,HI-01,238340,Tile and Terrazzo Contractors
1311,102500.0,HILO,HI,96720,424410,Corporation,Unanswered,Unanswered,Unanswered,,,05/13/2020,Bank of Hawaii,HI-02,424410,General Line Grocery Merchant Wholesalers 
1312,102500.0,HONOLULU,HI,96819,238330,Corporation,Unanswered,Unanswered,Unanswered,,20.0,04/09/2020,Central Pacific Bank,HI-01,238330,Flooring Contractors
1313,102460.0,KAPAAU,HI,96755,111421,Corporation,Unanswered,Male Owned,Non-Veteran,,18.0,04/05/2020,"American Savings Bank, FSB",HI-02,111421,Nursery and Tree Production 
1314,102400.0,WAIPAHU,HI,96797,811111,Corporation,White,Male Owned,Non-Veteran,,7.0,04/05/2020,"American Savings Bank, FSB",HI-01,811111,General Automotive Repair 
1315,102400.0,AIEA,HI,96701,541330,Partnership,Unanswered,Unanswered,Unanswered,,11.0,04/06/2020,Central Pacific Bank,HI-01,541330,Engineering Services
1316,102400.0,HONOLULU,HI,96813,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,7.0,04/08/2020,Central Pacific Bank,HI-01,541110,Offices of Lawyers
1317,102340.0,Kapolei,HI,96707,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4.0,04/29/2020,"Harvest Small Business Finance, LLC",HI-02,236115,New Single-Family Housing Construction (except For-Sale Builders) 
1318,102264.0,Kaunakakai,HI,96748,722511,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,30.0,05/14/2020,"Kabbage, Inc.",HI-02,722511,Full-Service Restaurants 
1319,102200.0,HONOLULU,HI,96814,621320,Corporation,Unanswered,Unanswered,Unanswered,,6.0,04/06/2020,Central Pacific Bank,HI-01,621320,Offices of Optometrists
1320,102200.0,HONOLULU,HI,96814,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6.0,04/08/2020,Central Pacific Bank,HI-01,541211,Offices of Certified Public Accountants 
1321,102163.0,HONOLULU,HI,96814,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,Central Pacific Bank,HI-01,722511,Full-Service Restaurants 
1322,102145.0,HONOLULU,HI,96819,424320,Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,Bank of Hawaii,HI-01,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers 
1323,102100.0,WAIPAHU,HI,96797,236220,Corporation,Asian,Female Owned,Non-Veteran,,4.0,04/03/2020,"American Savings Bank, FSB",HI-01,236220,Commercial and Institutional Building Construction 
1324,102100.0,PEARL CITY,HI,96782,446199,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/05/2020,"American Savings Bank, FSB",HI-01,446199,All Other Health and Personal Care Stores 
1325,102100.0,HONOLULU,HI,96813,451110,Corporation,Unanswered,Unanswered,Unanswered,,22.0,04/06/2020,Central Pacific Bank,HI-01,451110,Sporting Goods Stores 
1326,102100.0,Kapaa,HI,96746,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/30/2020,First Hawaiian Bank,HI-02,621111,Offices of Physicians (except Mental Health Specialists) 
1327,102080.0,KANEOHE,HI,96744,236117,Corporation,Asian,Female Owned,Non-Veteran,,8.0,04/08/2020,Central Pacific Bank,HI-02,236117,New Housing For-Sale Builders 
1328,102000.0,HONOLULU,HI,96813,531312,Corporation,Unanswered,Unanswered,Unanswered,,0.0,04/29/2020,Central Pacific Bank,HI-01,531312,Nonresidential Property Managers 
1329,102000.0,KAHULUI,HI,96732,238220,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-02,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
1330,102000.0,HONOLULU,HI,96813,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5.0,04/04/2020,Central Pacific Bank,HI-01,541211,Offices of Certified Public Accountants 
1331,102000.0,KANEOHE,HI,96744,621493,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,Bank of Hawaii,HI-02,621493,Freestanding Ambulatory Surgical and Emergency Centers 
1332,101900.0,WAHIAWA,HI,96786,722511,Corporation,Asian,Male Owned,Non-Veteran,,15.0,04/09/2020,Central Pacific Bank,HI-02,722511,Full-Service Restaurants 
1333,101800.0,PUUNENE,HI,96784,488410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6.0,04/30/2020,First Hawaiian Bank,HI-02,488410,Motor Vehicle Towing
1334,101740.0,HONOLULU,HI,96813,541110,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-01,541110,Offices of Lawyers
1335,101730.0,Kapaa,HI,96746,531311,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,9.0,04/27/2020,First Hawaiian Bank,HI-02,531311,Residential Property Managers 
1336,101700.0,Honolulu,HI,96822,722513,Corporation,Asian,Male Owned,Non-Veteran,,14.0,04/15/2020,Hawaii National Bank,HI-01,722513,Limited-Service Restaurants 
1337,101700.0,WAIANAE,HI,96792,238320,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,11.0,04/06/2020,"American Savings Bank, FSB",HI-02,238320,Painting and Wall Covering Contractors
1338,101610.0,HONOLULU,HI,96813,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
1339,101600.0,HONOLULU,HI,96814,722511,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,,04/15/2020,Bank of Hawaii,HI-01,722511,Full-Service Restaurants 
1340,101600.0,WAIPAHU,HI,96797,621210,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/06/2020,First Hawaiian Bank,HI-01,621210,Offices of Dentists 
1341,101600.0,WAILUKU,HI,96793,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10.0,04/08/2020,Central Pacific Bank,HI-02,621210,Offices of Dentists 
1342,101500.0,HONOLULU,HI,96816,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11.0,04/11/2020,Central Pacific Bank,HI-01,531210,Offices of Real Estate Agents and Brokers
1343,101500.0,MILILANI,HI,96789,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,18.0,04/06/2020,"American Savings Bank, FSB",HI-01,813110,Religious Organizations 
1344,101500.0,WAIKOLOA,HI,96738,561790,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/07/2020,"American Savings Bank, FSB",HI-02,561790,Other Services to Buildings and Dwellings 
1345,101400.0,KAILUA,HI,96734,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6.0,04/29/2020,Central Pacific Bank,HI-02,621210,Offices of Dentists 
1346,101400.0,HAIKU,HI,96708,238220,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/05/2020,"American Savings Bank, FSB",HI-02,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
1347,101360.0,KAPAA,HI,96746,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-02,236115,New Single-Family Housing Construction (except For-Sale Builders) 
1348,101330.0,HONOLULU,HI,96817,621111,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
1349,101300.0,KAILUA KONA,HI,96745,812990,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/10/2020,Central Pacific Bank,HI-02,812990,All Other Personal Services 
1350,101300.0,HONOLULU,HI,96824,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10.0,04/07/2020,First Hawaiian Bank,HI-01,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
1351,101260.0,KANEOHE,HI,96744,236118,Corporation,Unanswered,Unanswered,Unanswered,,5.0,05/01/2020,"American Savings Bank, FSB",HI-02,236118,Residential Remodelers 
1352,101200.0,HONOLULU,HI,96814,722511,Corporation,Unanswered,Unanswered,Unanswered,,12.0,04/10/2020,First Hawaiian Bank,HI-01,722511,Full-Service Restaurants 
1353,101200.0,HONOLULU,HI,96815,541512,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/06/2020,"American Savings Bank, FSB",HI-01,541512,Computer Systems Design Services 
1354,101145.0,Honolulu,HI,96814,445292,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,04/30/2020,First Hawaiian Bank,HI-01,445292,Confectionery and Nut Stores 
1355,101117.0,KAPOLEI,HI,96707,624120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8.0,08/06/2020,HawaiiUSA FCU,HI-02,624120,Services for the Elderly and Persons with Disabilities 
1356,101100.0,WAILUKU,HI,96793,541310,Corporation,Unanswered,Male Owned,Non-Veteran,,10.0,04/15/2020,First Hawaiian Bank,HI-02,541310,Architectural Services
1357,101100.0,HONOLULU,HI,96819,453210,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/06/2020,Central Pacific Bank,HI-01,453210,Office Supplies and Stationery Stores 
1358,101045.0,WAILUKU,HI,96793,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,Bank of Hawaii,HI-02,722511,Full-Service Restaurants 
1359,101000.0,AIEA,HI,96701,423990,Corporation,Unanswered,Male Owned,Unanswered,,7.0,04/10/2020,"American Savings Bank, FSB",HI-01,423990,Other Miscellaneous Durable Goods Merchant Wholesalers 
1360,101000.0,HONOLULU,HI,96819,238220,Corporation,Asian,Male Owned,Unanswered,,7.0,04/05/2020,"American Savings Bank, FSB",HI-01,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
1361,101000.0,KAPOLEI,HI,96707,722511,Corporation,Unanswered,Unanswered,Unanswered,,22.0,04/06/2020,Central Pacific Bank,HI-02,722511,Full-Service Restaurants 
1362,101000.0,HONOLULU,HI,96813,541990,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/07/2020,First Hawaiian Bank,HI-01,541990,"All Other Professional, Scientific, and Technical Services"
1363,101000.0,WAHIAWA,HI,96786,236117,Subchapter S Corporation,Asian,Male Owned,Non-Veteran,,,04/14/2020,Central Pacific Bank,HI-02,236117,New Housing For-Sale Builders 
1364,100993.75,HILO,HI,96721,541360,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,10.0,05/07/2020,First Hawaiian Bank,HI-02,541360,Geophysical Surveying and Mapping Services
1365,100900.0,KANEOHE,HI,96744,311811,Corporation,Unanswered,Unanswered,Unanswered,,21.0,04/04/2020,First Hawaiian Bank,HI-02,311811,Retail Bakeries 
1366,100900.0,KANEOHE,HI,96744,722513,Limited  Liability Company(LLC),Asian,Female Owned,Unanswered,,17.0,04/05/2020,"American Savings Bank, FSB",HI-02,722513,Limited-Service Restaurants 
1367,100822.5,Honolulu,HI,96822,541810,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/15/2020,First Hawaiian Bank,HI-01,541810,Advertising Agencies
1368,100800.0,Honolulu,HI,96817,541940,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/29/2020,Hawaii National Bank,HI-01,541940,Veterinary Services 
1369,100800.0,KIHEI,HI,96753,532284,Corporation,White,Male Owned,Non-Veteran,,19.0,05/11/2020,"American Savings Bank, FSB",HI-02,532284,Recreational Goods Rental 
1370,100800.0,HONOLULU,HI,96819,238190,Corporation,Unanswered,Unanswered,Unanswered,,6.0,04/07/2020,First Hawaiian Bank,HI-01,238190,"Other Foundation, Structure, and Building Exterior Contractors "
1371,100735.0,hilo,HI,96720,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8.0,04/28/2020,First Hawaiian Bank,HI-02,621210,Offices of Dentists 
1372,100700.0,WAIANAE,HI,96792,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18.0,04/10/2020,"American Savings Bank, FSB",HI-02,484110,"General Freight Trucking, Local "
1373,100700.0,HONOLULU,HI,96813,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8.0,04/11/2020,First Hawaiian Bank,HI-01,812112,Beauty Salons 
1374,100700.0,HONOLULU,HI,96813,445299,Corporation,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,Central Pacific Bank,HI-01,445299,All Other Specialty Food Stores 
1375,100700.0,HONOLULU,HI,96815,446130,Corporation,Unanswered,Unanswered,Unanswered,,,04/08/2020,Bank of Hawaii,HI-01,446130,Optical Goods Stores 
1376,100700.0,HONOLULU,HI,96814,541211,Corporation,Unanswered,Unanswered,Unanswered,,6.0,04/09/2020,Central Pacific Bank,HI-01,541211,Offices of Certified Public Accountants 
1377,100625.0,HALEIWA,HI,96712,453220,Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI-02,453220,"Gift, Novelty, and Souvenir Stores "
1378,100620.0,Wailuku,HI,96793,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15.0,05/07/2020,First Hawaiian Bank,HI-02,722513,Limited-Service Restaurants 
1379,100600.0,HONOLULU,HI,96814,484210,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/09/2020,Central Pacific Bank,HI-01,484210,Used Household and Office Goods Moving
1380,100600.0,Kamuela,HI,96743,561440,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9.0,04/27/2020,First Hawaiian Bank,HI-02,561440,Collection Agencies
1381,100500.0,WAHIAWA,HI,96786,621111,Corporation,Unanswered,Male Owned,Non-Veteran,,10.0,04/12/2020,Central Pacific Bank,HI-02,621111,Offices of Physicians (except Mental Health Specialists) 
1382,100500.0,Honolulu,HI,96819,541990,Corporation,Unanswered,Male Owned,Non-Veteran,,9.0,04/15/2020,Hawaii National Bank,HI-01,541990,"All Other Professional, Scientific, and Technical Services"
1383,100495.0,Hilo,HI,96720,531311,Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/28/2020,First Hawaiian Bank,HI-02,531311,Residential Property Managers 
1384,100400.0,WAIPAHU,HI,96797,713940,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,4.0,04/15/2020,First Hawaiian Bank,HI-01,713940,Fitness and Recreational Sports Centers 
1385,100390.0,WAIPAHU,HI,96797,238160,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,Bank of Hawaii,HI-01,238160,Roofing Contractors 
1386,100300.0,HILO,HI,96720,711219,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,47.0,05/01/2020,HomeStreet Bank,HI-02,711219,Other Spectator Sports 
1387,100300.0,PEARL CITY,HI,96782,621340,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/08/2020,First Hawaiian Bank,HI-01,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists "
1388,100250.0,HONOLULU,HI,96813,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,Bank of Hawaii,HI-01,621210,Offices of Dentists 
1389,100235.0,HONOLULU,HI,96817,443141,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/07/2020,Bank of Hawaii,HI-01,443141,Household Appliance Stores 
1390,100200.0,WAILUKU,HI,96793,424490,Corporation,Unanswered,Male Owned,Non-Veteran,,23.0,04/15/2020,First Hawaiian Bank,HI-02,424490,Other Grocery and Related Products Merchant Wholesalers 
1391,100200.0,HANALEI,HI,96714,561520,Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI-02,561520,Tour Operators
1392,100200.0,HONOLULU,HI,96817,238210,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,8.0,04/05/2020,"American Savings Bank, FSB",HI-01,238210,Electrical Contractors and Other Wiring Installation Contractors
1393,100200.0,HONOLULU,HI,96819,512131,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10.0,04/07/2020,"American Savings Bank, FSB",HI-01,512131,Motion Picture Theaters (except Drive-Ins) 
1394,100100.0,HILO,HI,96720,561710,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17.0,04/09/2020,"American Savings Bank, FSB",HI-02,561710,Exterminating and Pest Control Services
1395,100100.0,WAILUKU,HI,96793,541110,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/11/2020,First Hawaiian Bank,HI-02,541110,Offices of Lawyers
1396,100045.0,KAILUA,HI,96734,561720,Corporation,Unanswered,Unanswered,Unanswered,,12.0,04/27/2020,Bank of Hawaii,HI-02,561720,Janitorial Services 
1397,100020.0,KIHEI,HI,96753,531210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/10/2020,Bank of Hawaii,HI-02,531210,Offices of Real Estate Agents and Brokers
1398,100020.0,HONOLULU,HI,96814,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14.0,04/16/2020,First Hawaiian Bank,HI-01,722513,Limited-Service Restaurants 
1399,100000.0,HONOLULU,HI,96816,236117,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,04/09/2020,Central Pacific Bank,HI-01,236117,New Housing For-Sale Builders 
1400,100000.0,HONOLULU,HI,96819,621111,Corporation,Unanswered,Unanswered,Unanswered,,6.0,04/10/2020,Central Pacific Bank,HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
1401,100000.0,KEAAU,HI,96749,237110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10.0,04/10/2020,First Hawaiian Bank,HI-02,237110,Water and Sewer Line and Related Structures Construction 
1402,100000.0,HONOLULU,HI,96819,443142,Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/10/2020,Bank of Hawaii,HI-01,443142,Electronics Stores 
1403,100000.0,KAILUA KONA,HI,96740,112519,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9.0,04/27/2020,Bank of Hawaii,HI-02,112519,Other Aquaculture 
1404,100000.0,WAILUKU,HI,96793,621340,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-02,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists "
1405,100000.0,HONOLULU,HI,96814,339116,Corporation,Unanswered,Unanswered,Unanswered,,8.0,05/08/2020,Central Pacific Bank,HI-01,339116,Dental Laboratories 
1406,100000.0,HONOLULU,HI,96814,311520,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,11.0,04/03/2020,"American Savings Bank, FSB",HI-01,311520,Ice Cream and Frozen Dessert Manufacturing
1407,100000.0,KAPOLEI,HI,96707,722511,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,16.0,04/04/2020,Ohana Pacific Bank,HI-02,722511,Full-Service Restaurants 
1408,100000.0,WAIANAE,HI,96792,444220,Corporation,Asian,Female Owned,Unanswered,,10.0,04/04/2020,Central Pacific Bank,HI-02,444220,"Nursery, Garden Center, and Farm Supply Stores "
1409,100000.0,HONOLULU,HI,96813,448120,Corporation,Unanswered,Male Owned,Non-Veteran,,25.0,04/04/2020,Central Pacific Bank,HI-01,448120,Women's Clothing Stores 
1410,100000.0,KAPOLEI,HI,96707,238160,Limited  Liability Company(LLC),Asian,Female Owned,Non-Veteran,,7.0,04/05/2020,Central Pacific Bank,HI-02,238160,Roofing Contractors 
1411,100000.0,HONOLULUu,HI,96813,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/27/2020,Central Pacific Bank,HI-01,541211,Offices of Certified Public Accountants 
1412,100000.0,HONOLULU,HI,96818,722511,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,22.0,04/05/2020,First Hawaiian Bank,HI-01,722511,Full-Service Restaurants 
1413,100000.0,HONOLULU,HI,96817,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/06/2020,"American Savings Bank, FSB",HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
1414,100000.0,Makawao,HI,96768,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28.0,04/30/2020,WebBank,HI-02,713940,Fitness and Recreational Sports Centers 
1415,100000.0,Kapolei,HI,96707,238210,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/13/2020,Central Pacific Bank,HI-02,238210,Electrical Contractors and Other Wiring Installation Contractors
1416,100000.0,WAHIAWA,HI,96786,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8.0,04/06/2020,First Hawaiian Bank,HI-02,541211,Offices of Certified Public Accountants 
1417,100000.0,KAILUA,HI,96734,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39.0,04/06/2020,First Hawaiian Bank,HI-02,722511,Full-Service Restaurants 
1418,100000.0,Pearl City,HI,96782,238220,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,3.0,04/28/2020,First Hawaiian Bank,HI-01,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
1419,100000.0,Kamuela,HI,96743,453998,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,6.0,04/14/2020,"Readycap Lending, LLC",HI-02,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores) 
1420,100000.0,Honolulu,HI,96815,812990,Corporation,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,Central Pacific Bank,HI-01,812990,All Other Personal Services 
1421,100000.0,HONOLULU,HI,96816,531390,Corporation,Unanswered,Unanswered,Unanswered,,3.0,04/08/2020,Central Pacific Bank,HI-01,531390,Other Activities Related to Real Estate 
1422,100000.0,HILO,HI,96720,444220,Corporation,Unanswered,Unanswered,Unanswered,,15.0,04/08/2020,Central Pacific Bank,HI-02,444220,"Nursery, Garden Center, and Farm Supply Stores "
1423,100000.0,KOLOA,HI,96756,531311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12.0,04/08/2020,First Hawaiian Bank,HI-02,531311,Residential Property Managers 
1424,100000.0,HONOLULU,HI,96813,448190,Corporation,Unanswered,Unanswered,Unanswered,,25.0,04/08/2020,Central Pacific Bank,HI-01,448190,Other Clothing Stores 
1425,100000.0,AIEA,HI,96701,238210,Corporation,Unanswered,Unanswered,Unanswered,,20.0,05/01/2020,Central Pacific Bank,HI-01,238210,Electrical Contractors and Other Wiring Installation Contractors
1426,100000.0,HONOLULU,HI,96816,236115,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/01/2020,Central Pacific Bank,HI-01,236115,New Single-Family Housing Construction (except For-Sale Builders) 
1427,100000.0,LIHUE,HI,96766,424480,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/28/2020,Central Pacific Bank,HI-02,424480,Fresh Fruit and Vegetable Merchant Wholesalers 
1428,100000.0,HONOLULU,HI,96815,485320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12.0,04/09/2020,"American Savings Bank, FSB",HI-01,485320,Limousine Service
1429,100000.0,ANAHOLA,HI,96703,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/09/2020,Bank of Hawaii,HI-02,541330,Engineering Services
1430,99900.0,HONOLULU,HI,96813,541211,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/10/2020,Central Pacific Bank,HI-01,541211,Offices of Certified Public Accountants 
1431,99890.0,Lahaina,HI,96761,561520,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,0.0,05/06/2020,Central Pacific Bank,HI-02,561520,Tour Operators
1432,99837.5,Pearl City,HI,96782,541330,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,12.0,04/16/2020,First Hawaiian Bank,HI-01,541330,Engineering Services
1433,99817.0,Honolulu,HI,96814,721199,Corporation,Unanswered,Unanswered,Unanswered,,26.0,05/04/2020,Cross River Bank,HI-01,721199,All Other Traveler Accommodation 
1434,99800.0,LAHAINA,HI,96761,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28.0,04/06/2020,Central Pacific Bank,HI-02,722511,Full-Service Restaurants 
1435,99800.0,HONOLULU,HI,96813,722330,Corporation,White,Male Owned,Non-Veteran,,6.0,04/15/2020,First Hawaiian Bank,HI-01,722330,Mobile Food Services
1436,99780.0,HONOLULU,HI,96813,812930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/14/2020,Bank of Hawaii,HI-01,812930,Parking Lots and Garages 
1437,99700.0,HONOLULU,HI,96815,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36.0,04/12/2020,"American Savings Bank, FSB",HI-01,713940,Fitness and Recreational Sports Centers 
1438,99675.0,Lahaina,HI,96761,238150,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0.0,05/12/2020,Central Pacific Bank,HI-02,238150,Glass and Glazing Contractors 
1439,99655.0,HONOLULU,HI,96815,813990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/16/2020,Bank of Hawaii,HI-01,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) "
1440,99642.5,HONOLULU,HI,96817,541620,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12.0,05/01/2020,First Hawaiian Bank,HI-01,541620,Environmental Consulting Services
1441,99610.0,HONOLULU,HI,96826,722511,Corporation,Unanswered,Unanswered,Unanswered,,3.0,05/01/2020,First Hawaiian Bank,HI-01,722511,Full-Service Restaurants 
1442,99500.0,HONOLULU,HI,96813,446110,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,5.0,04/29/2020,Ohana Pacific Bank,HI-01,446110,Pharmacies and Drug Stores 
1443,99500.0,WAIPAHU,HI,96797,424930,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/12/2020,Central Pacific Bank,HI-01,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers "
1444,99500.0,KAUNAKAKAI,HI,96748,621340,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,35.0,05/08/2020,"American Savings Bank, FSB",HI-02,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists "
1445,99500.0,HONOLULU,HI,96819,519130,Limited  Liability Company(LLC),Asian,Female Owned,Non-Veteran,,6.0,04/06/2020,First Hawaiian Bank,HI-01,519130,Internet Publishing and Broadcasting and Web Search Portals
