City,JobTitle,AVG(LoanAmount)
LAHAINA,BREWERIES,60000.0
MILILANI,"OTHER SOCIAL ADVOCACY ORGANIZATIONS",60000.0
NAALEHU,"FULL-SERVICE RESTAURANTS",60000.0
WAIPAHU,"BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",60000.0
KOLOA,"OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS",59994.12
HONOLULU,"OTHER ELECTRIC POWER GENERATION",59916.995
KAMUELA,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",59900.0
KAPAA,"MASONRY CONTRACTORS",59846.7
AIEA,"ENGINEERING SERVICES",59779.4
HONOMU,"OTHER NONCITRUS FRUIT FARMING",59700.0
KAHULUI,"PAINTING AND WALL COVERING CONTRACTORS",59700.0
KAHULUI,"TOUR OPERATORS",59600.0
AIEA,"ALL OTHER GENERAL MERCHANDISE STORES",59500.0
KAMUELA,"OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING",59495.5
KEALAKEKUA,"POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS",59300.0
WAIMANALO,"REMEDIATION SERVICES",59300.0
KAILUA,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",59272.9166666667
LIHUE,"ALL OTHER SPECIALTY TRADE CONTRACTORS",59233.3333333333
HONOLULU,"GRANTMAKING FOUNDATIONS",59225.9285714286
WAILUKU,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",59225.0
HONOLULU,"TITLE ABSTRACT AND SETTLEMENT OFFICES",59202.5
HANA,,59175.55
WAHIAWA,"BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION",59170.0
HILO,"JANITORIAL SERVICES",59168.75
HONOLULU,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",59133.3333333333
ELEELE,"COIN-OPERATED LAUNDRIES AND DRYCLEANERS",59110.0
"KAILUA KONA","SECURITY GUARDS AND PATROL SERVICES",59100.0
WAHIAWA,"OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS",59100.0
HONOLULU,"INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS",59000.0
"MOUNTAIN VIEW","FLORICULTURE PRODUCTION",58977.3333333333
HAIKU,"FARM MANAGEMENT SERVICES",58957.0
"OCEAN VIEW",,58952.5
KAPOLEI,"AMUSEMENT ARCADES",58935.3333333333
KAMUELA,"OFFICES OF DENTISTS",58926.6666666667
KILAUEA,"RESIDENTIAL REMODELERS",58896.0
"KAILUA KONA","OTHER BUILDING MATERIAL DEALERS",58775.625
AIEA,"APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING",58750.0
HONOLULU,"CONVENTION AND VISITORS BUREAUS",58750.0
KAMUELA,"OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS",58700.0
KAPOLEI,"SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES",58693.5
HONOLULU,"REMEDIATION SERVICES",58667.0
LIHUE,"USED CAR DEALERS",58646.25
HANALEI,"OFFICES OF DENTISTS",58644.0
HILO,"ALL OTHER MISCELLANEOUS CROP FARMING",58600.0
KAMUELA,"ROOFING CONTRACTORS",58600.0
HONOLULU,"GOLF COURSES AND COUNTRY CLUBS",58536.6666666667
HONOLULU,"TELECOMMUNICATIONS RESELLERS",58500.5
MILILANI,"OFFICE ADMINISTRATIVE SERVICES",58445.0
HONOLULU,"RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY)",58400.0
KIHEI,"RECREATIONAL GOODS RENTAL",58360.0
WAIPAHU,"LANDSCAPING SERVICES",58331.1666666667
KILAUEA,"PROFESSIONAL EMPLOYER ORGANIZATIONS",58300.0
"KAILUA KONA","OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",58270.7916666667
WAHIAWA,"WHOLESALE TRADE AGENTS AND BROKERS",58255.0
WAILUKU,"PAINTING AND WALL COVERING CONTRACTORS",58231.25
AIEA,"FAMILY CLOTHING STORES",58211.0
WAIMANALO,"NURSERY AND TREE PRODUCTION",58205.0
WAIANAE,"AUTOMOTIVE PARTS AND ACCESSORIES STORES",58202.5
HONOLULU,"STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS",58200.0
WAIPAHU,"MOTOR VEHICLE BODY MANUFACTURING",58200.0
MILILANI,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",58194.8
KAMUELA,"NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",58172.0
"KAILUA KONA","CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",58167.0
WAIPAHU,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",58050.6565217391
WAHIAWA,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",58033.3333333333
"KAILUA KONA","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",58027.4285714286
HONOLULU,"LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS",57974.3333333333
LAHAINA,"ART DEALERS",57969.1666666667
HONOLULU,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",57949.4519047619
KAPOLEI,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",57852.5
HOLUALOA,"NEW HOUSING FOR-SALE BUILDERS",57832.0
WAILUKU,"EXTERMINATING AND PEST CONTROL SERVICES",57793.3333333333
KAPAA,"FULL-SERVICE RESTAURANTS",57786.4666666667
"KAILUA KONA","TILE AND TERRAZZO CONTRACTORS",57702.0
KAHULUI,"INTERIOR DESIGN SERVICES",57662.5
WAILUKU,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",57601.0
HONOLULU,"HARDWARE STORES",57600.0
LIHUE,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",57590.0
PUKALANI,"ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES",57560.0
WAILUKU,"COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",57533.3333333333
HONOLULU,"REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",57500.0
KOLOA,"ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES",57494.7
HALEIWA,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",57475.0
KAMUELA,"SIGN MANUFACTURING",57400.0
KALAHEO,"FULL-SERVICE RESTAURANTS",57350.0
KAPOLEI,"SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",57335.0
HONOLULU,"SITE PREPARATION CONTRACTORS",57318.0
HONOLULU,"WOOD WINDOW AND DOOR MANUFACTURING",57300.0
MAKAWAO,"APPLIANCE REPAIR AND MAINTENANCE",57300.0
HILO,"RECYCLABLE MATERIAL MERCHANT WHOLESALERS",57236.0
KAPAA,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",57231.6
KAPOLEI,"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",57220.0
HANALEI,"ENGINEERING SERVICES",57200.0
HONOLULU,"ADMINISTRATION OF HOUSING PROGRAMS",57200.0
HONOLULU,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",57167.425
HONOLULU,"ALL OTHER PUBLISHERS",57160.0
AIEA,"DRYWALL AND INSULATION CONTRACTORS",57140.3333333333
KUNIA,"OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING",57137.5
WAHIAWA,"TEMPORARY SHELTERS",57076.25
KEAAU,"WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING",57000.0
KIHEI,"ALL OTHER SPECIALTY FOOD STORES",57000.0
WAIPAHU,"EXTERMINATING AND PEST CONTROL SERVICES",57000.0
HONOLULU,"RECREATIONAL GOODS RENTAL",56991.0454545455
HALEIWA,"OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS",56937.5
KANEOHE,"ALL OTHER MISCELLANEOUS CROP FARMING",56930.0
KAILUA,"NONRESIDENTIAL PROPERTY MANAGERS",56905.0
HILO,"USED MERCHANDISE STORES",56900.0
LAHAINA,"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",56875.0
HAWI,"SNACK AND NONALCOHOLIC BEVERAGE BARS",56800.0
WAIALUA,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",56800.0
WAIANAE,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",56800.0
KANEOHE,"OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING",56743.5
"KAILUA KONA","OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS",56700.0
KAPAA,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",56699.25
KAPOLEI,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",56640.0
KAILUA-KONA,"OFFICES OF DENTISTS",56626.85
HAIKU,"LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS",56600.0
KAPOLEI,"OFFICES OF OPTOMETRISTS",56573.75
PAIA,"OTHER ACCOUNTING SERVICES",56525.0
KULA,"HOTELS (EXCEPT CASINO HOTELS) AND MOTELS",56510.0
HAUULA,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",56500.0
LIHUE,"GASOLINE STATIONS WITH CONVENIENCE STORES",56500.0
KAHULUI,"OTHER INDIVIDUAL AND FAMILY SERVICES",56382.0
HONOLULU,"NATURE PARKS AND OTHER SIMILAR INSTITUTIONS",56365.0
WAILUKU,"EDUCATIONAL SUPPORT SERVICES",56310.0
HOLUALOA,"COFFEE AND TEA MANUFACTURING",56300.0
KAHULUI,"ELEMENTARY AND SECONDARY SCHOOLS",56300.0
KAPOLEI,"LOCAL MESSENGERS AND LOCAL DELIVERY",56300.0
KAILUA,"LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS",56292.0
"PEARL CITY","AIRCRAFT MANUFACTURING",56250.0
AIEA,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",56249.51
HONOLULU,"OTHER GRANTMAKING AND GIVING SERVICES",56247.2222222222
KULA,"OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES",56235.0
KEALAKEKUA,"RELIGIOUS ORGANIZATIONS",56204.0
HANA,"ALL OTHER MISCELLANEOUS CROP FARMING",56200.0
LAHAINA,"BAKED GOODS STORES",56200.0
"PEARL CITY","FULL-SERVICE RESTAURANTS",56186.4166666667
LIHUE,"PRINTING INK MANUFACTURING",56165.0
AIEA,"HARDWARE MERCHANT WHOLESALERS",56110.0
KEALAKEKUA,"POTATO FARMING",56107.0
WAILUKU,"RADIO STATIONS",56100.0
KAPOLEI,"FINISH CARPENTRY CONTRACTORS",55987.0
HONOLULU,"FREIGHT TRANSPORTATION ARRANGEMENT",55976.5
AIEA,"METAL HOUSEHOLD FURNITURE MANUFACTURING",55900.0
HONOKAA,"SITE PREPARATION CONTRACTORS",55900.0
HONOLULU,"BROADWOVEN FABRIC MILLS",55900.0
HONOLULU,"BLOOD AND ORGAN BANKS",55875.0
HONOLULU,"OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS",55853.4
KAHUKU,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",55812.0
KEALAKEKUA,"OTHER NONCITRUS FRUIT FARMING",55800.0
"PEARL CITY","WATER SUPPLY AND IRRIGATION SYSTEMS",55745.0
WAILUKU,"LANDSCAPING SERVICES",55676.5
KILAUEA,"RESIDENTIAL PROPERTY MANAGERS",55633.6166666667
WAIPAHU,"GLASS AND GLAZING CONTRACTORS",55625.0
HONOLULU,"NURSING CARE FACILITIES (SKILLED NURSING FACILITIES)",55621.4
KAILUA,"FULL-SERVICE RESTAURANTS",55609.9464285714
KAMUELA,"TILE AND TERRAZZO CONTRACTORS",55600.0
LIHUE,"BEER, WINE, AND LIQUOR STORES",55600.0
KAMUELA,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",55580.0
WAIPAHU,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",55579.9772727273
KOLOA,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",55569.4666666667
AIEA,"MEN’S AND BOYS’ CUT AND SEW APPAREL MANUFACTURING",55560.0
HILO,"AUTOMOTIVE PARTS AND ACCESSORIES STORES",55559.25
KAPAA,"OFFICES OF DENTISTS",55550.0
"HONOLULU,","OFFICES OF REAL ESTATE AGENTS AND BROKERS",55500.0
KEALAKEKUA,"SNACK AND NONALCOHOLIC BEVERAGE BARS",55500.0
KEAAU,"BOTTLED WATER MANUFACTURING",55400.0
KIHEI,"POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING)",55400.0
LAHAINA,"FULL-SERVICE RESTAURANTS",55386.652173913
KAHULUIUI,"TRAVEL AGENCIES",55378.0
KAPAA,"LANDSCAPING SERVICES",55374.7833333333
LAHAINA,"LIMITED-SERVICE RESTAURANTS",55364.5384615385
HONOLULU,"TESTING LABORATORIES",55350.0
WAIANAE,"FULL-SERVICE RESTAURANTS",55341.4285714286
WAIPAHU,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",55310.0
LAHAINA,"OTHER SIMILAR ORGANIZATIONS (EXCEPT BUSINESS, PROFESSIONAL, LABOR, AND POLITICAL ORGANIZATIONS)",55279.5
"KAILUA KONA","OFFICES OF OPTOMETRISTS",55249.0
HONOLULU,"CHILD AND YOUTH SERVICES",55122.7727272727
KAPAA,"ICE CREAM AND FROZEN DESSERT MANUFACTURING",55100.0
KAILUA,"PAINTING AND WALL COVERING CONTRACTORS",55052.5
KAHULUI,"PHARMACIES AND DRUG STORES",55000.0
KEAAU,"CONVENIENCE STORES",55000.0
KEALAKEKUA,"GOLF COURSES AND COUNTRY CLUBS",55000.0
KILAUEA,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",55000.0
"OCEAN VIEW","DRINKING PLACES (ALCOHOLIC BEVERAGES)",55000.0
WAIKOLOA,"ALL OTHER TRAVELER ACCOMMODATION",55000.0
HANALEI,"DRILLING OIL AND GAS WELLS",54985.0
KAHULUI,"COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS",54900.0
KILAUEA,"OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING",54900.0
HONOLULU,"MEDICAL LABORATORIES",54887.0
"EWA BEACH","LIMITED-SERVICE RESTAURANTS",54854.3181818182
KAMUELA,"ALL OTHER TRAVELER ACCOMMODATION",54850.0
HONOLULU,"SIGN MANUFACTURING",54833.0357142857
PRINCEVILLE,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",54810.0
HAIKU,"TOUR OPERATORS",54800.0
HONOLULU,"MEAT PROCESSED FROM CARCASSES",54784.0
HONOLULU,"FLOORING CONTRACTORS",54718.8919047619
KAPOLEI,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",54660.32125
WAILUKU,"SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES",54660.0
PUKALANI,"WELDING AND SOLDERING EQUIPMENT MANUFACTURING",54642.0
"EWA BEACH","ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION",54628.3333333333
LIHUE,"OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS)",54625.0
KAPAA,"WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION",54600.0
WAIPAHU,"GEOPHYSICAL SURVEYING AND MAPPING SERVICES",54550.0
PAHOA,"RETAIL BAKERIES",54500.0
PAHOA,"WATER SUPPLY AND IRRIGATION SYSTEMS",54500.0
KAILUA,"CHILD DAY CARE SERVICES",54460.125
"EWA BEACH","NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",54436.2
KAILUA,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",54429.5384615385
HONOLULUNOLULU,"FULL-SERVICE RESTAURANTS",54379.0
HONOLULU,"WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING",54376.9
KOLOA,"PAINTING AND WALL COVERING CONTRACTORS",54362.0
KOLOA,"FULL-SERVICE RESTAURANTS",54281.5
HONOLULU,"POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION",54280.0
HONOLULU,"FORMAL WEAR AND COSTUME RENTAL",54200.0
HONOLULU,"ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING",54127.5
KAILUA,"ENGINEERING SERVICES",54122.6875
KEAAU,"PACKING AND CRATING",54068.25
WAIKOLOA,"ALL OTHER SUPPORT SERVICES",54045.0
MAKAWAO,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",54000.0
PUUNENE,"COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE",54000.0
LIHUE,"NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",53946.0
HILO,"FULL-SERVICE RESTAURANTS",53917.65575
WAIMANALO,"SITE PREPARATION CONTRACTORS",53900.0
HONOLULU,"HARDWARE MERCHANT WHOLESALERS",53834.5
LAHAINA,"THEATER COMPANIES AND DINNER THEATERS",53818.5
KALAHEO,"RELIGIOUS ORGANIZATIONS",53800.0
KEKAHA,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",53800.0
HALEIWA,"COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",53794.3333333333
AIEA,"SHOE STORES",53775.0
"EWA BEACH","HOME HEALTH CARE SERVICES",53700.0
HANALEI,"ALL OTHER HEALTH AND PERSONAL CARE STORES",53700.0
HAUULA,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",53700.0
WAIMEA,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",53700.0
HONOLULU,"MARKETING RESEARCH AND PUBLIC OPINION POLLING",53686.6
KIHEI,"FULL-SERVICE RESTAURANTS",53613.185
KIHEI,"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",53600.0
KAILUA,"FLOORING CONTRACTORS",53513.5
WAIPAHU,"OFFICES OF DENTISTS",53494.9583333333
KEAAU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",53472.5
WAILUKU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",53417.65
WAIANAE,"GENERAL FREIGHT TRUCKING, LOCAL",53403.4733333333
LAHAINA,"LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS",53401.25
KAPAA,"FLOORING CONTRACTORS",53400.0
KAPOLEI,"OFFICES OF DENTISTS",53398.0
KAPOLEI,"WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION",53366.075
HAIKU,"LIMOUSINE SERVICE",53326.0
HILO,"OFFICES OF PODIATRISTS",53271.0
KAHUKU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",53108.5
HILO,"DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)",53102.5
WAILUKU,"SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING",53000.0
ELEELE,"EDUCATIONAL SUPPORT SERVICES",52993.0
HAIKU,"NURSERY, GARDEN CENTER, AND FARM SUPPLY STORES",52990.52
KALAHEO,"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",52975.0
KAMUELA,"LIMITED-SERVICE RESTAURANTS",52921.6111111111
HONOLULU,"SHOE STORES",52905.1666666667
LAHAINA,"COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",52891.3025
HONOLULU,"OFFICES OF DENTISTS",52888.2207142857
"KAILUA KONA","EDUCATIONAL SUPPORT SERVICES",52870.0
KILAUEA,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",52850.0
HILO,"OFFICES OF DENTISTS",52819.0666666667
WAILUKU,"FLOORING CONTRACTORS",52800.0
KALAHEO,"OFFICES OF DENTISTS",52787.5
KEAAU,"MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES",52700.0
WAHIAWA,"VOLUNTARY HEALTH ORGANIZATIONS",52700.0
KEAAU,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",52697.0
KAHULUI,"USED CAR DEALERS",52675.0
WAILUKU,"OTHER DIRECT INSURANCE (EXCEPT LIFE, HEALTH, AND MEDICAL) CARRIERS",52660.0
HONOLULU,"PROFESSIONAL ORGANIZATIONS",52650.0
LAHAINA,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",52627.0
KAILUA,"ALL OTHER MISCELLANEOUS MANUFACTURING",52600.0
WAHIAWA,"MASONRY CONTRACTORS",52600.0
HALEIWA,"FULL-SERVICE RESTAURANTS",52597.2688888889
HONOLULU,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES",52583.2528571429
"KAILUA KONA","INSURANCE AGENCIES AND BROKERAGES",52500.0
KAMUELA,"NURSING CARE FACILITIES (SKILLED NURSING FACILITIES)",52500.0
LIHUE,"ALL OTHER TRAVELER ACCOMMODATION",52500.0
MAKAWAO,"ENVIRONMENTAL CONSULTING SERVICES",52500.0
WAIKOLOA,"JEWELRY STORES",52422.0
HONOLULU,"MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS",52339.0
ANAHOLA,"OTHER COMMUNITY HOUSING SERVICES",52317.22
"PEARL CITY","ALL OTHER PUBLISHERS",52305.0
WAIANAE,"CIVIC AND SOCIAL ORGANIZATIONS",52305.0
HANALEI,"OTHER CLOTHING STORES",52215.5
"KAILUA KONA","CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS",52167.0
"KAILUA KONA","AUTOMOTIVE OIL CHANGE AND LUBRICATION SHOPS",52150.0
HONOLULU,"OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",52120.0
MAKAWAO,"INSURANCE AGENCIES AND BROKERAGES",52103.3333333333
KAUNAKAKAI,"GENERAL LINE GROCERY MERCHANT WHOLESALERS",52069.0
HILO,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",52062.0547619048
LIHUE,"OFFICES OF OPTOMETRISTS",52032.5
WAILUKU,"ARCHITECTURAL SERVICES",52020.205
KAMUELA,"ICE CREAM AND FROZEN DESSERT MANUFACTURING",52005.0
KIHEI,"FINISH CARPENTRY CONTRACTORS",52000.0
KIHEI,"OTHER AQUACULTURE",51900.0
KEAUHOU,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",51882.5
HONOLULU,"TEMPORARY SHELTERS",51871.0
HONOLULU,"DRYWALL AND INSULATION CONTRACTORS",51854.375
KILAUEA,"OFFICES OF DENTISTS",51800.0
KAPOLEI,"CAR WASHES",51766.6666666667
KALAHEO,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",51750.0
HONOLULU,WINERIES,51700.0
HONOLULU,"FULL-SERVICE RESTAURANTS",51682.6715598886
WAILUKU,"FULL-SERVICE RESTAURANTS",51678.8125
KAPAA,"OFFICES OF CHIROPRACTORS",51666.675
KIHEI,"RELIGIOUS ORGANIZATIONS",51649.6
LAHAINA,"PAINTING AND WALL COVERING CONTRACTORS",51640.0
KULA,"COMMERCIAL PHOTOGRAPHY",51623.5
AIEA,"WATER SUPPLY AND IRRIGATION SYSTEMS",51600.0
HONOLULU,"TOBACCO STORES",51560.2666666667
MILILANI,"RELIGIOUS ORGANIZATIONS",51470.3461538462
HALEIWA,"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",51460.0
LIHUE,"SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES",51450.0
KURTISTOWN,"FLORICULTURE PRODUCTION",51433.75
LAHAINA,"SPECIAL NEEDS TRANSPORTATION",51420.0
WAIPAHU,"FLOORING CONTRACTORS",51400.0
KAHULUI,"ALL OTHER SUPPORT SERVICES",51385.0
KAHULUI,"RELIGIOUS ORGANIZATIONS",51343.6666666667
KAILUA,"GENERAL MEDICAL AND SURGICAL HOSPITALS",51305.0
HAUULA,"LIMITED-SERVICE RESTAURANTS",51301.0
LAHAINA,"DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)",51300.0
HONOLULU,"DENTAL LABORATORIES",51219.9
HONOLULU,"OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING",51200.0
MAKAWAO,"PHARMACIES AND DRUG STORES",51200.0
KAHULUI,FLORISTS,51187.0
HOLUALOA,"BEEF CATTLE RANCHING AND FARMING",51142.0
HONOLULU,"INDUSTRIAL BUILDING CONSTRUCTION",51114.4285714286
KULA,"ELEMENTARY AND SECONDARY SCHOOLS",51100.0
LIHUE,"BOWLING CENTERS",51100.0
"KAILUA KONA","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",51075.0
LIHUE,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",51060.832
HONOLULU,"NONRESIDENTIAL PROPERTY MANAGERS",51017.1666666667
WAIPAHU,"POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS",51000.0
HALEIWA,"ALL OTHER GENERAL MERCHANDISE STORES",50990.0
AIEA,"OFFICES OF DENTISTS",50966.2857142857
KEAAU,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",50950.0
HALEIWA,"OTHER CLOTHING STORES",50920.7733333333
MILILANI,"OFFICES OF OPTOMETRISTS",50914.25
HONOLULU,"COSMETOLOGY AND BARBER SCHOOLS",50833.45
KAILUA-KONA,"MUSICAL GROUPS AND ARTISTS",50825.0
MAKAWAO,"DRYWALL AND INSULATION CONTRACTORS",50800.0
MAKAWAO,"SECURITIES BROKERAGE",50800.0
HAIKU,"RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES",50765.0
KAILUA,"SNACK AND NONALCOHOLIC BEVERAGE BARS",50739.1666666667
HONOLULU,"OTHER SUPPORT ACTIVITIES FOR WATER TRANSPORTATION",50735.0
AIEA,"OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS",50700.0
KAPAA,"RESIDENTIAL PROPERTY MANAGERS",50685.5
WAIMANALO,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",50633.3333333333
WAILUKU,"TAX PREPARATION SERVICES",50522.5
LAHAINA,"CLOTHING ACCESSORIES STORES",50506.6666666667
LAHAINA,"CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS",50500.0
HONOLULU,"FARM SUPPLIES MERCHANT WHOLESALERS",50470.6666666667
